BIRTH_YEAR,,INCIDENT_DATE
1917,,19510412
1927,,19500727
1932,,19510316
1929,,19530122
1932,,19530529
1929,,19510606
1932,,19521006
1930,,19501129
1929,,19501112
1930,,19500720
1932,,19500720
1931,,19500908
1927,,19511026
1933,,19521130
1932,,19500815
1926,,19501130
1923,,19510404
1928,,19510830
1929,,19510104
,,19500927
1933,,19501104
1930,,19500720
1923,,19501102
1925,,19501130
1932,,19500828
1926,,19501101
,,KOREA (KOREAN WAR)
1925,,19500716
1931,,19500919
,,KOREA (KOREAN WAR)
1931,,19530619
1926,,19510429
1927,,19510602
1930,,19510328
1933,,19530707
1926,,19501130
1920,,19521020
1925,,19510621
1930,,19521015
1933,,19530516
1933,,19530111
1931,,19510610
1930,,19501101
1931,,19520718
1931,,REPUBLIC OF KOREA
1931,,19510529
1932,,19510410
1923,,REPUBLIC OF KOREA
1930,,19520918
1930,,19500720
1930,,19530212
1923,,DEMOCRATIC PEOPLE IS REPUBLIC OF KOREA
1931,,19521024
1926,,19501127
1932,,19510425
1929,,19500720
1932,,19500720
1925,,19510213
1920,,19501104
1930,,19520416
1932,,19501126
1915,,19501102
1926,,19510308
1932,,19510323
1928,,19520128
1927,,19520814
,,KOREA (KOREAN WAR)
1930,,19521013
1931,,19510906
1926,,DEMOCRATIC PEOPLE IS REPUBLIC OF KOREA
1930,,19530715
1923,,REPUBLIC OF KOREA
1929,,19520916
1931,,19501202
1932,,19510517
1929,,19500731
1928,,19520918
1931,,19510831
1924,,19501002
1930,,19510819
1931,,19510423
1918,,19510105
1930,,19530709
1931,,19501130
1933,,19510714
1930,,19501127
1930,,19500920
1932,,19530710
1925,,19500813
1931,,19501126
1929,,19500829
1919,,19501102
1930,,19501201
1925,,19500901
1930,,19500707
1932,,19500811
,,KOREA (KOREAN WAR)
1931,,19500730
1929,,19500919
1929,,19520814
1925,,19521031
1926,,19500901
1929,,19510527
1931,,KOREA (KOREAN WAR)
,,KOREA (KOREAN WAR)
,,KOREA (KOREAN WAR)
1930,,19500914
 GEN,,19990101
1925,,19510212
1931,,19510914
1927,,19500819
1931,,19530414
1932,,19510212
1924,,19500802
1929,,19501129
1929,,19510921
1910,,19501130
1930,,19530227
1927,,19521124
1930,,19500928
1930,,19510914
,,KOREA (KOREAN WAR)
1923,,19520610
1932,,19500727
1930,,19511013
1929,,19511014
1930,,19521014
1929,,19500716
1930,,19501202
1931,,19500823
1930,,19510215
1917,,19501201
1925,,19501215
,,KOREA (KOREAN WAR)
1914,,19501212
1931,,19500901
1928,,19501125
1928,,19510214
1929,,19510908
1921,,19510929
1931,,19501201
1916,,19501202
1929,,19501201
1933,,19510308
1917,,19520131
1921,,19500728
1927,,19501128
1930,,19500716
1932,,19501102
,,KOREA (KOREAN WAR)
1928,,19510601
1932,,19510830
1929,,19501128
1929,,19521210
1931,,19501118
1928,,19511126
1928,,19500901
1920,,19501128
1918,,19501130
1920,,19510215
1929,,19510704
1931,,19511009
1931,,19510308
1931,,19511019
1930,,19500920
1927,,19510922
1929,,19511013
1930,,19510906
1927,,19500720
1918,,19501009
1931,,19530213
1918,,19510115
1926,,19501201
,,KOREA (KOREAN WAR)
1930,,19500716
1932,,19530717
1931,,19510519
1922,,19510205
1920,,19510212
1928,,19520922
1916,,19511015
1925,,19510507
,,KOREA (KOREAN WAR)
1933,,19520625
1928,,19510731
1929,,19510919
1923,,19501130
1930,,19530612
1919,,19510120
1929,,19500924
1929,,19530724
1930,,19500719
1928,,19510519
1930,,19510424
1928,,REPUBLIC OF KOREA
1929,,19500806
1932,,19530716
1929,,19500921
1931,,19501130
,,KOREA (KOREAN WAR)
1923,,REPUBLIC OF KOREA
,,KOREA (KOREAN WAR)
1931,,19510330
1928,,19501102
1933,,19520924
1931,,19530119
1934,,19511005
1930,,19501128
1932,,19501130
1930,,19501128
1928,,19510912
1932,,19511024
1928,,19500812
1928,,19530319
1931,,19530406
1930,,19501202
1933,,19520608
1925,,19500812
1924,,19500902
1923,,19520810
,,KOREA (KOREAN WAR)
1932,,19530624
1930,,19530223
1929,,19510828
1931,,19501229
1921,,KOREA (KOREAN WAR)
1931,,19501129
1926,,19510923
1931,,19501201
1931,,19510619
1930,,19510404
1929,,19520918
1931,,19500816
1933,,19520609
1930,,19500802
1932,,19520906
1929,,19510916
1931,,19501101
1924,,19511004
1932,,19501201
1929,,19501202
1929,,19510209
1928,,19500818
1930,,19510425
1933,,19520403
1929,,19500812
1923,,19510912
1931,,19520617
1921,,19500902
1931,,19510407
1928,,19510827
1920,,19500822
1918,,19501102
1932,,19500711
1932,,19500809
1930,,19510109
1928,,19511017
1927,,19520717
1927,,19501130
1931,,19500819
1930,,19500705
1913,,REPUBLIC OF KOREA
1930,,19500901
1926,,19510424
1931,,19500919
1923,,19500915
1921,,19501130
1931,,19500918
1932,,19501209
1929,,19510830
1934,,19530105
1927,,19530307
1927,,19501208
1927,,19500808
1931,,REPUBLIC OF KOREA
1932,,19510212
1930,,19520815
1927,,19520424
1933,,19510829
1929,,19500711
1932,,19501202
1929,,19510902
1931,,19500906
1930,,19500922
1930,,19500712
1918,,19501104
1929,,19501129
1931,,19500921
1931,,19520704
1930,,19511013
1923,,19501103
1931,,19520421
1931,,19530629
1930,,19510827
1918,,DEMOCRATIC PEOPLE IS REPUBLIC OF KOREA
1932,,19500716
1933,,19530602
1928,,19510218
1930,,19501202
1924,,19501128
1930,,19501102
1930,,19511230
1918,,19500716
,,KOREA (KOREAN WAR)
1932,,19530708
1919,,19500906
1926,,19510518
1928,,19510607
1931,,19500911
1918,,19500716
1926,,19511004
1927,,19530711
1932,,19500716
1932,,19501130
1933,,KOREA (KOREAN WAR)
1931,,19520905
1930,,19500911
1906,,19501130
1929,,19501128
1917,,KOREA (KOREAN WAR)
,,KOREA (KOREAN WAR)
1933,,19520716
1927,,19501130
1931,,19501201
1920,,19501201
1931,,19510423
1932,,19521028
1929,,19510603
1928,,19500812
1932,,19501102
1912,,19500910
1929,,19500712
1933,,19530326
1921,,19500924
1922,,19510425
1928,,19510215
1929,,19520610
,,KOREA (KOREAN WAR)
1928,,19500815
1929,,19510927
1930,,19501128
1930,,19530708
1930,,19520112
1932,,19511108
1927,,19510827
1930,,19510131
1925,,19510312
1927,,19501104
1931,,19520924
1933,,19510827
1931,,19530412
,,KOREA (KOREAN WAR)
1931,,19530523
1929,,19500711
1929,,19511126
1921,,REPUBLIC OF KOREA
1918,,REPUBLIC OF KOREA
1928,,19510819
1928,,19520917
1931,,19501102
1930,,KOREA (KOREAN WAR)
1930,,19511202
1930,,19520909
1929,,19520703
1932,,19500901
1931,,19510212
1921,,19500731
1929,,19500817
1931,,19500809
1927,,19500727
1934,,19530329
1932,,19500903
1931,,19510923
1926,,19510212
1928,,19530323
1923,,19500809
1916,,19510518
1930,,19530408
1915,,19500824
1930,,19500812
1921,,19500720
 CHI,,19990101
1932,,19510602
1931,,19501128
1926,,19510826
1923,,19520131
1928,,19520307
1902,,19520926
1928,,19511003
1930,,19511004
1931,,19500722
1912,,19510302
,,19521125
1933,,19520614
1929,,19510213
1928,,19510424
1930,,19500924
1931,,19510722
1932,,19500811
1922,,19501201
,,19510213
1930,,19510213
1915,,19501130
1926,,19510530
1928,,19511105
1932,,KOREA (KOREAN WAR)
1918,,19510423
1932,,19530320
1929,,19530118
1933,,19530324
1930,,19510212
1929,,19501127
1932,,19510212
1925,,19501108
1931,,19501127
1920,,19530701
,,19510912
1922,,19500921
1932,,19501104
1923,,19501201
1931,,19510212
1932,,19530425
1932,,19530317
1929,,19500705
1930,,19501201
1918,,19510611
1932,,19521005
1930,,19501203
1933,,19510527
1932,,19510423
1928,,19500716
1929,,19510903
1931,,19510916
1929,,19510305
1932,,19510423
1926,,19500811
1930,,19510827
1931,,19500802
1928,,19511005
1929,,19500922
1931,,19501102
,,19510204
1932,,19510824
 COR,,19990101
1934,,19511010
1929,,19510902
1930,,19511017
1917,,19510322
1932,,19511129
 HEA,,19990101
1915,,19510423
1933,,19510602
1928,,19510518
1926,,19500930
1928,,19510918
1930,,19510615
1930,,19510610
,,KOREA (KOREAN WAR)
1931,,19530604
1932,,19530616
1928,,19510304
1929,,19500810
1929,,19530201
1928,,19530109
1931,,19521111
1930,,19500725
1930,,19501126
1930,,19500923
1923,,19511004
1929,,19520811
1922,,19530707
1931,,19500831
1924,,19510513
1924,,19510405
1929,,19500828
1928,,19510421
1929,,19530616
1910,,19501201
A3,,Z
1926,,19510415
1929,,19500924
1931,,19510603
1932,,19530706
1931,,19500918
1927,,REPUBLIC OF KOREA
1932,,19511208
1928,,19520816
1922,,19501102
1929,,REPUBLIC OF KOREA
1927,,19510408
1930,,19520906
1919,,19510206
1932,,19510805
1930,,19521011
1928,,19511007
1931,,19501128
1928,,19510901
1931,,19530708
